"Month","Bankruptcies instigated, number of employees"
"1986M01",1625
"1986M02",1923
"1986M03",1721
"1986M04",1386
"1986M05",1553
"1986M06",1881
"1986M07",980
"1986M08",1428
"1986M09",1138
"1986M10",1963
"1986M11",1354
"1986M12",1516
"1987M01",1452
"1987M02",1483
"1987M03",1716
"1987M04",1475
"1987M05",1736
"1987M06",1180
"1987M07",1121
"1987M08",1004
"1987M09",2100
"1987M10",2283
"1987M11",999
"1987M12",928
"1988M01",1913
"1988M02",1479
"1988M03",1668
"1988M04",1070
"1988M05",2320
"1988M06",885
"1988M07",579
"1988M08",837
"1988M09",926
"1988M10",766
"1988M11",1396
"1988M12",502
"1989M01",1509
"1989M02",1421
"1989M03",1571
"1989M04",972
"1989M05",1529
"1989M06",1683
"1989M07",712
"1989M08",1820
"1989M09",1056
"1989M10",6434
"1989M11",2737
"1989M12",972
"1990M01",2274
"1990M02",1700
"1990M03",1574
"1990M04",1138
"1990M05",1545
"1990M06",1617
"1990M07",1185
"1990M08",1577
"1990M09",1777
"1990M10",2605
"1990M11",2531
"1990M12",1578
"1991M01",3274
"1991M02",2924
"1991M03",3148
"1991M04",3587
"1991M05",3326
"1991M06",2801
"1991M07",2552
"1991M08",2648
"1991M09",2896
"1991M10",2831
"1991M11",3874
"1991M12",4339
"1992M01",4284
"1992M02",2844
"1992M03",3859
"1992M04",3793
"1992M05",2522
"1992M06",3174
"1992M07",4752
"1992M08",3427
"1992M09",3723
"1992M10",4004
"1992M11",3236
"1992M12",4432
"1993M01",3923
"1993M02",2729
"1993M03",3577
"1993M04",2960
"1993M05",3001
"1993M06",3177
"1993M07",1890
"1993M08",2458
"1993M09",2814
"1993M10",2676
"1993M11",3622
"1993M12",2455
"1994M01",2500
"1994M02",3285
"1994M03",6935
"1994M04",1901
"1994M05",2154
"1994M06",2440
"1994M07",1395
"1994M08",1582
"1994M09",1732
"1994M10",1603
"1994M11",2148
"1994M12",2377
"1995M01",1645
"1995M02",1505
"1995M03",1508
"1995M04",1238
"1995M05",1231
"1995M06",1624
"1995M07",958
"1995M08",1052
"1995M09",1473
"1995M10",1059
"1995M11",1547
"1995M12",1082
"1996M01",1617
"1996M02",1484
"1996M03",1316
"1996M04",1397
"1996M05",966
"1996M06",1136
"1996M07",689
"1996M08",1225
"1996M09",1211
"1996M10",1074
"1996M11",921
"1996M12",515
"1997M01",1067
"1997M02",898
"1997M03",888
"1997M04",910
"1997M05",967
"1997M06",823
"1997M07",589
"1997M08",597
"1997M09",1034
"1997M10",1218
"1997M11",690
"1997M12",792
"1998M01",690
"1998M02",754
"1998M03",885
"1998M04",770
"1998M05",521
"1998M06",696
"1998M07",647
"1998M08",727
"1998M09",810
"1998M10",737
"1998M11",806
"1998M12",569
"1999M01",716
"1999M02",811
"1999M03",895
"1999M04",668
"1999M05",826
"1999M06",845
"1999M07",483
"1999M08",866
"1999M09",893
"1999M10",768
"1999M11",796
"1999M12",659
"2000M01",871
"2000M02",929
"2000M03",963
"2000M04",973
"2000M05",1704
"2000M06",857
"2000M07",453
"2000M08",753
"2000M09",1010
"2000M10",905
"2000M11",926
"2000M12",505
"2001M01",748
"2001M02",795
"2001M03",588
"2001M04",1075
"2001M05",1304
"2001M06",816
"2001M07",575
"2001M08",885
"2001M09",771
"2001M10",975
"2001M11",904
"2001M12",611
"2002M01",1019
"2002M02",1067
"2002M03",1138
"2002M04",1187
"2002M05",1056
"2002M06",824
"2002M07",633
"2002M08",710
"2002M09",1034
"2002M10",1074
"2002M11",913
"2002M12",471
"2003M01",819
"2003M02",1006
"2003M03",1083
"2003M04",1065
"2003M05",890
"2003M06",1011
"2003M07",428
"2003M08",897
"2003M09",1132
"2003M10",1110
"2003M11",900
"2003M12",720
"2004M01",923
"2004M02",1004
"2004M03",908
"2004M04",605
"2004M05",684
"2004M06",847
"2004M07",651
"2004M08",690
"2004M09",594
"2004M10",763
"2004M11",949
"2004M12",573
"2005M01",1031
"2005M02",810
"2005M03",762
"2005M04",644
"2005M05",1147
"2005M06",775
"2005M07",501
"2005M08",606
"2005M09",1433
"2005M10",728
"2005M11",949
"2005M12",512
"2006M01",855
"2006M02",892
"2006M03",1023
"2006M04",600
"2006M05",962
"2006M06",955
"2006M07",535
"2006M08",646
"2006M09",805
"2006M10",578
"2006M11",565
"2006M12",301
"2007M01",823
"2007M02",707
"2007M03",753
"2007M04",762
"2007M05",982
"2007M06",980
"2007M07",561
"2007M08",756
"2007M09",876
"2007M10",730
"2007M11",655
"2007M12",645
"2008M01",1045
"2008M02",1056
"2008M03",712
"2008M04",772
"2008M05",780
"2008M06",686
"2008M07",624
"2008M08",953
"2008M09",1189
"2008M10",1569
"2008M11",1273
"2008M12",1001
"2009M01",1187
"2009M02",1492
"2009M03",1327
"2009M04",1048
"2009M05",1414
"2009M06",1523
"2009M07",985
"2009M08",1560
"2009M09",794
"2009M10",1293
"2009M11",955
"2009M12",1282
"2010M01",1135
"2010M02",1169
"2010M03",1935
"2010M04",1173
"2010M05",1187
"2010M06",1159
"2010M07",625
"2010M08",968
"2010M09",914
"2010M10",1171
