"Month","Point figure"
"1951M01",.
"1951M02",.
"1951M03",.
"1951M04",.
"1951M05",.
"1951M06",.
"1951M07",.
"1951M08",.
"1951M09",.
"1951M10",100
"1951M11",100
"1951M12",100
"1952M01",102
"1952M02",101
"1952M03",101
"1952M04",101
"1952M05",101
"1952M06",101
"1952M07",101
"1952M08",101
"1952M09",101
"1952M10",102
"1952M11",102
"1952M12",102
"1953M01",102
"1953M02",103
"1953M03",103
"1953M04",103
"1953M05",103
"1953M06",103
"1953M07",103
"1953M08",103
"1953M09",103
"1953M10",104
"1953M11",103
"1953M12",102
"1954M01",104
"1954M02",104
"1954M03",103
"1954M04",104
"1954M05",104
"1954M06",103
"1954M07",104
"1954M08",104
"1954M09",104
"1954M10",104
"1954M11",98
"1954M12",98
"1955M01",98
"1955M02",98
"1955M03",98
"1955M04",99
"1955M05",99
"1955M06",99
"1955M07",99
"1955M08",100
"1955M09",100
"1955M10",101
"1955M11",101
"1955M12",101
"1956M01",104
"1956M02",107
"1956M03",108
"1956M04",108
"1956M05",110
"1956M06",110
"1956M07",111
"1956M08",112
"1956M09",113
"1956M10",113
"1956M11",118
"1956M12",118
"1957M01",120
"1957M02",120
"1957M03",120
"1957M04",121
"1957M05",122
"1957M06",122
"1957M07",124
"1957M08",125
"1957M09",126
"1957M10",127
"1957M11",127
"1957M12",128
"1958M01",129
"1958M02",130
"1958M03",130
"1958M04",132
"1958M05",133
"1958M06",132
"1958M07",132
"1958M08",132
"1958M09",132
"1958M10",132
"1958M11",133
"1958M12",133
"1959M01",133
"1959M02",133
"1959M03",133
"1959M04",132
"1959M05",133
"1959M06",133
"1959M07",133
"1959M08",133
"1959M09",134
"1959M10",136
"1959M11",136
"1959M12",136
"1960M01",136
"1960M02",136
"1960M03",137
"1960M04",138
"1960M05",138
"1960M06",138
"1960M07",139
"1960M08",138
"1960M09",138
"1960M10",139
"1960M11",140
"1960M12",140
"1961M01",140
"1961M02",140
"1961M03",140
"1961M04",140
"1961M05",140
"1961M06",140
"1961M07",140
"1961M08",140
"1961M09",140
"1961M10",141
"1961M11",142
"1961M12",142
"1962M01",143
"1962M02",143
"1962M03",144
"1962M04",145
"1962M05",146
"1962M06",146
"1962M07",148
"1962M08",148
"1962M09",148
"1962M10",150
"1962M11",150
"1962M12",150
"1963M01",150
"1963M02",151
"1963M03",151
"1963M04",153
"1963M05",153
"1963M06",153
"1963M07",154
"1963M08",154
"1963M09",156
"1963M10",158
"1963M11",158
"1963M12",158
"1964M01",164
"1964M02",165
"1964M03",167
"1964M04",169
"1964M05",170
"1964M06",170
"1964M07",170
"1964M08",171
"1964M09",172
"1964M10",173
"1964M11",173
"1964M12",174
"1965M01",175
"1965M02",175
"1965M03",176
"1965M04",177
"1965M05",177
"1965M06",178
"1965M07",179
"1965M08",179
"1965M09",179
"1965M10",180
"1965M11",180
"1965M12",180
"1966M01",181
"1966M02",181
"1966M03",182
"1966M04",183
"1966M05",184
"1966M06",184
"1966M07",185
"1966M08",186
"1966M09",187
"1966M10",188
"1966M11",189
"1966M12",189
"1967M01",191
"1967M02",192
"1967M03",192
"1967M04",193
"1967M05",193
"1967M06",194
"1967M07",195
"1967M08",195
"1967M09",197
"1967M10",198
"1967M11",202
"1967M12",203
"1968M01",205
"1968M02",207
"1968M03",210
"1968M04",211
"1968M05",211
"1968M06",213
"1968M07",213
"1968M08",213
"1968M09",214
"1968M10",215
"1968M11",215
"1968M12",215
"1969M01",215
"1969M02",215
"1969M03",214
"1969M04",216
"1969M05",216
"1969M06",217
"1969M07",217
"1969M08",217
"1969M09",218
"1969M10",218
"1969M11",218
"1969M12",218
"1970M01",220
"1970M02",221
"1970M03",221
"1970M04",222
"1970M05",222
"1970M06",222
"1970M07",223
"1970M08",223
"1970M09",224
"1970M10",224
"1970M11",225
"1970M12",225
"1971M01",228
"1971M02",229
"1971M03",231
"1971M04",232
"1971M05",233
"1971M06",237
"1971M07",239
"1971M08",241
"1971M09",243
"1971M10",243
"1971M11",244
"1971M12",245
"1972M01",242
"1972M02",245
"1972M03",247
"1972M04",251
"1972M05",253
"1972M06",254
"1972M07",256
"1972M08",257
"1972M09",259
"1972M10",260
"1972M11",262
"1972M12",262
"1973M01",265
"1973M02",267
"1973M03",269
"1973M04",272
"1973M05",277
"1973M06",280
"1973M07",288
"1973M08",292
"1973M09",295
"1973M10",297
"1973M11",299
"1973M12",303
"1974M01",305
"1974M02",314
"1974M03",317
"1974M04",324
"1974M05",328
"1974M06",329
"1974M07",335
"1974M08",340
"1974M09",348
"1974M10",351
"1974M11",353
"1974M12",354
"1975M01",364
"1975M02",369
"1975M03",375
"1975M04",383
"1975M05",387
"1975M06",388
"1975M07",394
"1975M08",399
"1975M09",405
"1975M10",411
"1975M11",415
"1975M12",418
"1976M01",426
"1976M02",432
"1976M03",436
"1976M04",440
"1976M05",441
"1976M06",442
"1976M07",450
"1976M08",456
"1976M09",460
"1976M10",465
"1976M11",468
"1976M12",469
"1977M01",476
"1977M02",482
"1977M03",489
"1977M04",493
"1977M05",500
"1977M06",506
"1977M07",510
"1977M08",518
"1977M09",520
"1977M10",522
"1977M11",524
"1977M12",525
"1978M01",526
"1978M02",532
"1978M03",533
"1978M04",536
"1978M05",544
"1978M06",544
"1978M07",545
"1978M08",547
"1978M09",551
"1978M10",554
"1978M11",557
"1978M12",556
"1979M01",560
"1979M02",567
"1979M03",571
"1979M04",576
"1979M05",578
"1979M06",582
"1979M07",585
"1979M08",588
"1979M09",593
"1979M10",596
"1979M11",601
"1979M12",604
"1980M01",611
"1980M02",620
"1980M03",626
"1980M04",638
"1980M05",645
"1980M06",648
"1980M07",651
"1980M08",660
"1980M09",669
"1980M10",676
"1980M11",682
"1980M12",686
"1981M01",693
"1981M02",699
"1981M03",708
"1981M04",717
"1981M05",727
"1981M06",731
"1981M07",734
