"Month","A1 Consumer confidence indicator, CCI = (B1+B2+B4+E1)/4","B1 Own economy now (balance)","B2 Own economy in 12 months' time (balance)","B3 Finland's economy now (balance)","B4 Finland's economy in 12 months' time (balance)","B5 Consumer prices now (Inflation %)","B6 Consumer prices in 12 months' time (Inflation %)","B7 Unemployment in Finland in 12 months' time (balance)","B8 Personal threat of unemployment now (balance)","C1 Favourability of time for purchasing durables (balance)","C2 Favourability of time for saving (balance)","C3 Favourability of time for raising a loan (balance)","D1 Financial situation now (balance)","D2 Possibilities to save, next 12 months (balance)","D5 Intentions to raise a loan, next 12 months (% of consumers)","E1 Spending on durables, next 12 months vs last 12 months (balance)","E2 Intentions to buy a car, next 12 months (% of consumers)","E3 New or used car, next 12 months (% of consumers)","E5 Intentions to use money for basic repairs of a dwelling, next 12 months (% of consumers)"
"1995M10",-3.1,-5.3,1.7,8.9,8.2,-0.6,2.6,5.7,.,9.9,-14.9,-24.2,7.4,11.4,11.3,-17.2,.,.,.
"1995M11",-2.2,-3.0,3.4,11.2,7.9,-1.5,2.5,6.3,.,18.6,-19.4,-17.4,6.5,13.4,11.4,-17.2,.,.,.
"1995M12",-3.8,-3.4,2.4,8.2,4.7,-2.7,2.2,4.8,.,14.7,-18.7,-14.7,8.5,13.2,11.8,-18.6,.,.,.
"1996M01",-5.5,-4.1,2.0,-4.3,-1.1,-1.7,2.5,-3.7,.,21.8,-25.5,-8.5,6.4,9.8,12.1,-19.0,.,.,.
"1996M02",-5.0,-2.2,2.0,-5.9,-2.7,-1.5,3.2,-1.7,.,22.8,-22.5,-6.4,9.0,13.7,11.9,-17.2,.,.,.
"1996M03",-4.5,-2.0,3.6,-3.1,-2.1,-1.1,2.5,0.9,.,22.5,-21.9,-4.4,9.3,13.6,11.0,-17.6,.,.,.
"1996M04",-5.5,-3.5,1.2,-5.1,-2.1,-0.2,3.4,2.5,.,22.4,-18.0,-4.4,9.0,12.1,11.7,-17.5,.,.,.
"1996M05",-4.0,-2.9,4.1,-0.8,1.2,0.0,3.1,3.1,.,21.6,-20.1,-2.2,9.4,13.1,13.1,-18.5,.,.,.
"1996M06",-1.9,0.3,4.0,5.0,7.0,0.1,3.2,5.0,.,23.0,-22.5,-0.5,9.2,13.7,12.0,-18.8,.,.,.
"1996M07",-1.6,-0.4,3.7,8.7,6.8,0.8,3.4,2.6,.,25.8,-22.7,3.4,9.0,14.6,12.2,-16.7,.,.,.
"1996M08",0.1,0.1,4.4,11.1,11.5,1.1,3.2,2.8,.,26.5,-20.6,6.6,11.3,15.2,13.0,-15.5,.,.,.
"1996M09",0.8,1.0,5.8,14.2,12.4,1.1,3.3,5.4,.,27.2,-25.2,11.9,11.3,21.7,11.7,-16.0,.,.,.
"1996M10",0.1,0.5,5.7,10.8,9.6,1.6,3.3,5.7,.,23.0,-22.5,9.2,8.7,16.0,13.0,-15.2,.,.,.
"1996M11",0.1,0.3,5.4,13.5,11.4,2.0,3.4,10.6,.,25.6,-28.5,9.7,9.3,16.7,12.8,-16.8,.,.,.
"1996M12",1.7,2.1,5.3,16.1,12.4,1.3,3.5,11.0,.,25.0,-27.9,11.0,12.5,18.7,11.8,-13.2,.,.,.
"1997M01",1.1,0.1,5.3,16.1,14.2,2.0,3.4,7.1,.,31.9,-27.4,11.0,11.0,16.3,14.0,-15.1,.,.,.
"1997M02",2.4,1.4,6.0,18.1,16.0,2.7,3.4,12.4,.,26.1,-25.5,12.5,11.9,15.0,14.8,-13.7,.,.,.
"1997M03",2.7,1.5,5.7,19.2,16.0,2.9,3.7,12.5,.,27.1,-23.4,15.9,13.5,20.2,12.6,-12.3,.,.,.
"1997M04",3.6,2.5,6.8,23.1,17.1,3.1,3.7,17.0,.,28.5,-21.5,15.1,12.7,21.1,14.7,-11.9,.,.,.
"1997M05",2.6,2.6,5.4,22.1,15.6,3.4,3.8,16.7,.,23.8,-17.3,14.3,12.2,18.7,13.7,-13.2,.,.,.
"1997M06",2.4,3.7,6.1,20.8,15.7,2.0,2.4,15.0,.,23.7,-16.0,14.2,12.3,20.5,13.2,-15.8,.,.,.
"1997M07",2.0,3.4,5.1,22.3,13.2,2.0,2.3,9.8,.,25.9,-13.9,14.5,11.8,18.6,13.1,-13.8,.,.,.
"1997M08",1.3,1.9,5.1,16.5,11.6,2.5,2.9,11.0,.,19.3,-15.2,10.7,10.6,14.6,13.3,-13.4,.,.,.
"1997M09",3.0,2.7,7.0,22.2,14.1,2.3,2.7,15.8,.,20.3,-13.5,9.9,11.5,20.1,12.6,-11.8,.,.,.
"1997M10",2.8,2.3,8.2,21.0,14.0,2.1,2.5,17.4,.,24.7,-14.3,8.4,11.8,19.3,15.0,-13.3,.,.,.
"1997M11",2.7,4.2,7.0,20.3,12.0,2.4,2.5,17.0,.,22.2,-12.3,9.3,10.6,16.0,12.0,-12.5,.,.,.
"1997M12",2.4,3.6,7.5,19.3,12.4,2.3,2.5,17.4,.,19.2,-14.2,9.0,12.0,18.2,12.0,-13.8,.,.,.
"1998M01",1.2,1.4,7.4,20.4,11.0,2.6,2.6,16.1,.,26.1,-10.6,11.5,13.9,19.2,12.8,-14.8,.,.,.
"1998M02",0.7,1.5,6.9,18.3,9.4,2.5,2.7,17.3,.,21.7,-9.8,8.7,12.7,22.1,12.1,-15.2,.,.,.
"1998M03",2.6,4.5,7.1,20.7,12.0,2.4,2.5,20.3,.,24.7,-7.1,16.3,14.3,20.5,14.1,-13.0,.,.,.
"1998M04",2.7,2.9,7.8,20.5,11.3,2.6,2.6,19.0,.,23.1,-10.5,13.9,13.9,20.0,14.6,-11.4,.,.,13.3
