"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Total","00-54 Total","1971",45876
"Total","00-54 Total","1972",43958
"Total","00-54 Total","1973",43411
"Total","00-54 Total","1974",44673
"Total","00-54 Total","1975",43866
"Total","00-54 Total","1976",44857
"Total","00-54 Total","1977",44264
"Total","00-54 Total","1978",43817
"Total","00-54 Total","1979",43857
"Total","00-54 Total","1980",44511
"Total","00-54 Total","1981",44528
"Total","00-54 Total","1982",43584
"Total","00-54 Total","1983",45517
"Total","00-54 Total","1984",45176
"Total","00-54 Total","1985",48347
"Total","00-54 Total","1986",47306
"Total","00-54 Total","1987",47988
"Total","00-54 Total","1988",49092
"Total","00-54 Total","1989",49132
"Total","00-54 Total","1990",50091
"Total","00-54 Total","1991",49319
"Total","00-54 Total","1992",49856
"Total","00-54 Total","1993",51033
"Total","00-54 Total","1994",47946
"Total","00-54 Total","1995",49326
"Total","00-54 Total","1996",49161
"Total","00-54 Total","1997",49142
"Total","00-54 Total","1998",49237
"Total","00-54 Total","1999",49368
"Total","00-54 Total","2000",49316
"Total","00-54 Total","2001",48504
"Total","00-54 Total","2002",49389
"Total","00-54 Total","2003",49033
"Total","00-54 Total","2004",47757
"Total","00-54 Total","2005",47751
"Total","00-54 Total","2006",48105
"Total","00-54 Total","2007",49093
"Total","00-54 Total","2008",49090
"Total","00-54 Total","2009",49904
"Total","00-54 Total","2010",50910
"Total","00-54 Total","2011",50568
"Total","00-54 Total","2012",51737
"Total","00-54 Total","2013",51478
"Total","00-54 Total","2014",52409
"Total","00-54 Total","2015",52302
"Total","00-54 Total","2016",53964
"Total","00-54 Total","2017",53670
"Total","00-54 Total","2018",54523
"Total","00-54 Total","2019",53962
"Total","00-54 Total","2020",55498
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1971",41902
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1972",39828
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1973",39457
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1974",40841
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1975",40015
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1976",41130
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1977",40657
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1978",40328
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1979",40315
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1980",41063
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1981",41184
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1982",40254
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1983",42099
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1984",41749
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1985",44805
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1986",43622
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1987",44125
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1988",44942
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1989",44788
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1990",45740
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1991",44999
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1992",45641
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1993",47053
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1994",43936
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1995",45370
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1996",45379
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1997",45136
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1998",45300
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","1999",45527
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2000",45538
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2001",44664
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2002",45556
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2003",45187
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2004",43750
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2005",43881
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2006",44208
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2007",45280
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2008",45218
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2009",46070
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2010",47209
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2011",46962
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2012",48203
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2013",47925
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2014",48730
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2015",48912
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2016",50695
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2017",50260
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2018",51061
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2019",50715
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U07, X45)","2020",52286
"Total","00 COVID-19 virus infection (U071, U072)","1971",0
"Total","00 COVID-19 virus infection (U071, U072)","1972",0
"Total","00 COVID-19 virus infection (U071, U072)","1973",0
"Total","00 COVID-19 virus infection (U071, U072)","1974",0
"Total","00 COVID-19 virus infection (U071, U072)","1975",0
"Total","00 COVID-19 virus infection (U071, U072)","1976",0
"Total","00 COVID-19 virus infection (U071, U072)","1977",0
"Total","00 COVID-19 virus infection (U071, U072)","1978",0
"Total","00 COVID-19 virus infection (U071, U072)","1979",0
"Total","00 COVID-19 virus infection (U071, U072)","1980",0
"Total","00 COVID-19 virus infection (U071, U072)","1981",0
"Total","00 COVID-19 virus infection (U071, U072)","1982",0
"Total","00 COVID-19 virus infection (U071, U072)","1983",0
"Total","00 COVID-19 virus infection (U071, U072)","1984",0
"Total","00 COVID-19 virus infection (U071, U072)","1985",0
"Total","00 COVID-19 virus infection (U071, U072)","1986",0
"Total","00 COVID-19 virus infection (U071, U072)","1987",0
"Total","00 COVID-19 virus infection (U071, U072)","1988",0
"Total","00 COVID-19 virus infection (U071, U072)","1989",0
"Total","00 COVID-19 virus infection (U071, U072)","1990",0
"Total","00 COVID-19 virus infection (U071, U072)","1991",0
"Total","00 COVID-19 virus infection (U071, U072)","1992",0
"Total","00 COVID-19 virus infection (U071, U072)","1993",0
"Total","00 COVID-19 virus infection (U071, U072)","1994",0
"Total","00 COVID-19 virus infection (U071, U072)","1995",0
"Total","00 COVID-19 virus infection (U071, U072)","1996",0
"Total","00 COVID-19 virus infection (U071, U072)","1997",0
"Total","00 COVID-19 virus infection (U071, U072)","1998",0
"Total","00 COVID-19 virus infection (U071, U072)","1999",0
"Total","00 COVID-19 virus infection (U071, U072)","2000",0
"Total","00 COVID-19 virus infection (U071, U072)","2001",0
"Total","00 COVID-19 virus infection (U071, U072)","2002",0
"Total","00 COVID-19 virus infection (U071, U072)","2003",0
"Total","00 COVID-19 virus infection (U071, U072)","2004",0
"Total","00 COVID-19 virus infection (U071, U072)","2005",0
"Total","00 COVID-19 virus infection (U071, U072)","2006",0
"Total","00 COVID-19 virus infection (U071, U072)","2007",0
"Total","00 COVID-19 virus infection (U071, U072)","2008",0
"Total","00 COVID-19 virus infection (U071, U072)","2009",0
"Total","00 COVID-19 virus infection (U071, U072)","2010",0
"Total","00 COVID-19 virus infection (U071, U072)","2011",0
"Total","00 COVID-19 virus infection (U071, U072)","2012",0
"Total","00 COVID-19 virus infection (U071, U072)","2013",0
"Total","00 COVID-19 virus infection (U071, U072)","2014",0
"Total","00 COVID-19 virus infection (U071, U072)","2015",0
"Total","00 COVID-19 virus infection (U071, U072)","2016",0
"Total","00 COVID-19 virus infection (U071, U072)","2017",0
"Total","00 COVID-19 virus infection (U071, U072)","2018",0
"Total","00 COVID-19 virus infection (U071, U072)","2019",0
"Total","00 COVID-19 virus infection (U071, U072)","2020",558
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1971",552
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1972",457
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1973",458
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1974",444
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1975",489
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1976",458
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1977",431
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1978",438
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1979",406
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1980",421
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1981",383
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1982",368
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1983",364
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1984",370
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1985",375
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1986",371
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1987",377
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1988",360
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1989",318
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1990",430
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1991",383
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1992",337
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1993",336
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1994",346
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1995",384
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1996",438
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1997",357
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1998",365
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","1999",395
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2000",393
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2001",366
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2002",382
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2003",377
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2004",343
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2005",367
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2006",335
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2007",459
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2008",438
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2009",430
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2010",436
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2011",406
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2012",306
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2013",312
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2014",310
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2015",258
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2016",255
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2017",286
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2018",244
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2019",210
"Total","01-03 Certain infectious and parasitic diseases (A00-B99, J65)","2020",203
"Total","01 Tuberculosis (A15-A19, B90, J65)","1971",369
"Total","01 Tuberculosis (A15-A19, B90, J65)","1972",294
"Total","01 Tuberculosis (A15-A19, B90, J65)","1973",277
"Total","01 Tuberculosis (A15-A19, B90, J65)","1974",272
"Total","01 Tuberculosis (A15-A19, B90, J65)","1975",292
"Total","01 Tuberculosis (A15-A19, B90, J65)","1976",284
"Total","01 Tuberculosis (A15-A19, B90, J65)","1977",265
"Total","01 Tuberculosis (A15-A19, B90, J65)","1978",276
"Total","01 Tuberculosis (A15-A19, B90, J65)","1979",234
"Total","01 Tuberculosis (A15-A19, B90, J65)","1980",239
"Total","01 Tuberculosis (A15-A19, B90, J65)","1981",188
"Total","01 Tuberculosis (A15-A19, B90, J65)","1982",206
"Total","01 Tuberculosis (A15-A19, B90, J65)","1983",210
"Total","01 Tuberculosis (A15-A19, B90, J65)","1984",205
"Total","01 Tuberculosis (A15-A19, B90, J65)","1985",179
"Total","01 Tuberculosis (A15-A19, B90, J65)","1986",162
"Total","01 Tuberculosis (A15-A19, B90, J65)","1987",180
"Total","01 Tuberculosis (A15-A19, B90, J65)","1988",152
"Total","01 Tuberculosis (A15-A19, B90, J65)","1989",122
"Total","01 Tuberculosis (A15-A19, B90, J65)","1990",179
"Total","01 Tuberculosis (A15-A19, B90, J65)","1991",120
"Total","01 Tuberculosis (A15-A19, B90, J65)","1992",134
"Total","01 Tuberculosis (A15-A19, B90, J65)","1993",115
"Total","01 Tuberculosis (A15-A19, B90, J65)","1994",114
"Total","01 Tuberculosis (A15-A19, B90, J65)","1995",135
"Total","01 Tuberculosis (A15-A19, B90, J65)","1996",134
"Total","01 Tuberculosis (A15-A19, B90, J65)","1997",123
"Total","01 Tuberculosis (A15-A19, B90, J65)","1998",102
"Total","01 Tuberculosis (A15-A19, B90, J65)","1999",112
"Total","01 Tuberculosis (A15-A19, B90, J65)","2000",129
"Total","01 Tuberculosis (A15-A19, B90, J65)","2001",98
"Total","01 Tuberculosis (A15-A19, B90, J65)","2002",98
"Total","01 Tuberculosis (A15-A19, B90, J65)","2003",82
"Total","01 Tuberculosis (A15-A19, B90, J65)","2004",68
"Total","01 Tuberculosis (A15-A19, B90, J65)","2005",77
"Total","01 Tuberculosis (A15-A19, B90, J65)","2006",60
"Total","01 Tuberculosis (A15-A19, B90, J65)","2007",57
"Total","01 Tuberculosis (A15-A19, B90, J65)","2008",61
"Total","01 Tuberculosis (A15-A19, B90, J65)","2009",54
"Total","01 Tuberculosis (A15-A19, B90, J65)","2010",48
"Total","01 Tuberculosis (A15-A19, B90, J65)","2011",61
"Total","01 Tuberculosis (A15-A19, B90, J65)","2012",49
"Total","01 Tuberculosis (A15-A19, B90, J65)","2013",31
"Total","01 Tuberculosis (A15-A19, B90, J65)","2014",40
"Total","01 Tuberculosis (A15-A19, B90, J65)","2015",33
"Total","01 Tuberculosis (A15-A19, B90, J65)","2016",26
"Total","01 Tuberculosis (A15-A19, B90, J65)","2017",35
"Total","01 Tuberculosis (A15-A19, B90, J65)","2018",31
"Total","01 Tuberculosis (A15-A19, B90, J65)","2019",29
"Total","01 Tuberculosis (A15-A19, B90, J65)","2020",21
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1971",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1972",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1973",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1974",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1975",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1976",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1977",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1978",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1979",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1980",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1981",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1982",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1983",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1984",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1985",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1986",0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1987",5
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1988",12
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1989",6
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1990",18
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1991",23
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1992",18
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1993",27
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","1994",25
