"001 -- Changes in marital status in 1965 to 2016"

"Year","Marriages","Divorces"
"1965",36214,4594
"1966",38252,4856
"1967",41273,5209
"1968",40251,5416
"1969",40910,5895
"1970",40730,6044
"1971",37925,7175
"1972",35467,8254
"1973",34883,8831
"1974",34533,10019
"1975",31547,9358
"1976",32004,10125
"1977",30966,10107
"1978",29760,10369
"1979",29277,10191
"1980",29388,9464
"1981",30100,9497
"1982",30459,9705
"1983",29474,9770
"1984",28550,9652
"1985",25751,9064
"1986",25820,9742
"1987",26259,10110
"1988",25933,12146
"1989",24569,14365
"1990",24997,13127
"1991",24732,12820
"1992",23560,12949
"1993",24660,12753
"1994",24898,13751
"1995",23737,14025
"1996",24464,13795
"1997",23444,13507
"1998",24023,13848
"1999",24271,14030
"2000",26150,13913
"2001",24830,13568
"2002",26969,13336
"2003",25815,13475
"2004",29342,13234
"2005",29283,13383
"2006",28236,13255
"2007",29497,13224
"2008",31014,13471
"2009",29836,13527
"2010",29952,13619
"2011",28408,13469
"2012",28878,13040
"2013",25119,13766
"2014",24462,13682
"2015",24708,13939
"2016",24464,13541
