Year;Total;Males;Females
1971;1003;781;222
1972;1113;874;239
1973;1098;849;249
1974;1176;921;255
1975;1178;924;254
1976;1220;967;253
1977;1220;962;258
1978;1200;963;237
1979;1178;936;242
1980;1226;962;264
1981;1143;904;239
1982;1164;900;264
1983;1183;936;247
1984;1231;979;252
1985;1210;961;249
1986;1310;1023;287
1987;1366;1066;300
1988;1406;1110;296
1989;1414;1119;295
1990;1520;1198;322
1991;1493;1189;304
1992;1452;1156;296
1993;1398;1107;291
1994;1387;1080;307
1995;1389;1080;309
1996;1247;965;282
1997;1322;1038;284
1998;1228;962;266
1999;1207;954;253
2000;1165;873;292
2001;1204;933;271
2002;1095;824;271
2003;1075;815;260
2004;1064;812;252
2005;994;724;270
2006;1062;803;259
2007;995;751;244
2008;1033;801;232
2009;1034;761;273
2010;954;718;236
2011;912;710;202
2012;873;655;218
2013;887;666;221
2014;789;599;190
2015;731;558;173
2016;787;615;172
2017;824;611;213
2018;810;618;192
2019;746;567;179
2020;717;529;188
