Year;Total;Okt 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85 - 89;90 - 94;95 -;Males;Females
1998;1228;5;48;75;90;120;102;139;144;133;98;76;56;59;49;20;11;3;0;962;266
1999;1207;2;50;91;91;112;102;146;153;125;102;71;53;46;27;17;17;2;0;954;253
2000;1165;2;46;85;78;119;112;135;145;132;93;60;55;42;28;24;6;3;0;873;292
2001;1204;5;37;78;86;93;124;153;143;139;94;90;43;52;29;30;7;1;0;933;271
2002;1095;3;31;89;71;83;105;116;127;116;99;74;56;50;35;17;18;5;0;824;271
2003;1075;7;45;77;71;65;114;110;133;131;89;62;47;50;36;24;11;2;1;815;260
2004;1064;5;41;100;79;70;90;95;125;116;95;69;61;49;36;17;10;6;0;812;252
2005;994;2;29;72;64;67;80;89;111;128;113;63;47;45;42;25;13;4;0;724;270
2006;1062;4;47;80;69;77;71;98;110;135;111;71;69;52;38;18;9;3;0;803;259
2007;995;3;39;81;64;61;73;94;106;113;119;67;58;42;37;24;9;5;0;751;244
2008;1033;4;37;70;68;80;88;92;119;123;106;84;56;47;24;19;15;0;1;801;232
2009;1034;1;36;81;81;80;67;95;120;111;115;76;50;44;32;28;13;4;0;761;273
2010;954;1;39;96;78;78;59;69;102;88;102;81;50;36;32;25;13;4;1;718;236
2011;912;2;43;73;66;65;61;58;94;113;103;67;55;39;24;36;7;4;2;710;202
2012;873;0;44;73;64;54;58;65;86;91;100;76;56;50;21;21;10;4;0;655;218
2013;887;2;32;67;84;78;54;64;64;84;96;83;56;50;28;22;18;5;0;666;221
2014;789;2;28;57;74;73;51;58;75;83;58;67;48;43;32;20;18;2;0;599;190
2015;731;5;17;54;65;57;49;50;74;72;78;54;46;36;32;23;14;4;1;558;173
2016;787;3;23;78;62;53;60;46;75;77;75;51;66;41;36;19;20;2;0;615;172
2017;824;5;32;70;77;73;61;65;54;66;65;71;55;53;39;19;11;7;1;611;213
2018;810;6;30;63;74;79;51;60;47;64;65;68;58;49;40;31;19;5;1;618;192
2019;746;4;34;71;67;59;70;47;52;63;52;58;33;49;36;25;19;7;0;567;179
