"Month","Underlying cause of death (time series classification)","Males Deaths","Females Deaths"
"1971M01","50 Suicides (X60-X84, Y870)",44,12
"1971M02","50 Suicides (X60-X84, Y870)",45,16
"1971M03","50 Suicides (X60-X84, Y870)",56,7
"1971M04","50 Suicides (X60-X84, Y870)",66,19
"1971M05","50 Suicides (X60-X84, Y870)",77,27
"1971M06","50 Suicides (X60-X84, Y870)",91,22
"1971M07","50 Suicides (X60-X84, Y870)",85,19
"1971M08","50 Suicides (X60-X84, Y870)",76,23
"1971M09","50 Suicides (X60-X84, Y870)",66,22
"1971M10","50 Suicides (X60-X84, Y870)",63,18
"1971M11","50 Suicides (X60-X84, Y870)",56,14
"1971M12","50 Suicides (X60-X84, Y870)",56,23
"1972M01","50 Suicides (X60-X84, Y870)",67,20
"1972M02","50 Suicides (X60-X84, Y870)",63,23
"1972M03","50 Suicides (X60-X84, Y870)",70,19
"1972M04","50 Suicides (X60-X84, Y870)",68,16
"1972M05","50 Suicides (X60-X84, Y870)",77,19
"1972M06","50 Suicides (X60-X84, Y870)",102,26
"1972M07","50 Suicides (X60-X84, Y870)",88,21
"1972M08","50 Suicides (X60-X84, Y870)",74,15
"1972M09","50 Suicides (X60-X84, Y870)",67,19
"1972M10","50 Suicides (X60-X84, Y870)",63,20
"1972M11","50 Suicides (X60-X84, Y870)",69,16
"1972M12","50 Suicides (X60-X84, Y870)",66,25
"1973M01","50 Suicides (X60-X84, Y870)",72,17
"1973M02","50 Suicides (X60-X84, Y870)",54,18
"1973M03","50 Suicides (X60-X84, Y870)",74,16
"1973M04","50 Suicides (X60-X84, Y870)",64,25
"1973M05","50 Suicides (X60-X84, Y870)",72,24
"1973M06","50 Suicides (X60-X84, Y870)",66,23
"1973M07","50 Suicides (X60-X84, Y870)",85,25
"1973M08","50 Suicides (X60-X84, Y870)",78,27
"1973M09","50 Suicides (X60-X84, Y870)",75,16
"1973M10","50 Suicides (X60-X84, Y870)",71,30
"1973M11","50 Suicides (X60-X84, Y870)",75,11
"1973M12","50 Suicides (X60-X84, Y870)",63,17
"1974M01","50 Suicides (X60-X84, Y870)",65,15
"1974M02","50 Suicides (X60-X84, Y870)",49,18
"1974M03","50 Suicides (X60-X84, Y870)",82,17
"1974M04","50 Suicides (X60-X84, Y870)",75,25
"1974M05","50 Suicides (X60-X84, Y870)",96,20
"1974M06","50 Suicides (X60-X84, Y870)",103,25
"1974M07","50 Suicides (X60-X84, Y870)",80,22
"1974M08","50 Suicides (X60-X84, Y870)",79,20
"1974M09","50 Suicides (X60-X84, Y870)",71,20
"1974M10","50 Suicides (X60-X84, Y870)",75,29
"1974M11","50 Suicides (X60-X84, Y870)",63,20
"1974M12","50 Suicides (X60-X84, Y870)",83,24
"1975M01","50 Suicides (X60-X84, Y870)",66,23
"1975M02","50 Suicides (X60-X84, Y870)",58,15
"1975M03","50 Suicides (X60-X84, Y870)",72,17
"1975M04","50 Suicides (X60-X84, Y870)",86,25
"1975M05","50 Suicides (X60-X84, Y870)",97,26
"1975M06","50 Suicides (X60-X84, Y870)",72,25
"1975M07","50 Suicides (X60-X84, Y870)",84,23
"1975M08","50 Suicides (X60-X84, Y870)",91,23
"1975M09","50 Suicides (X60-X84, Y870)",79,19
"1975M10","50 Suicides (X60-X84, Y870)",62,28
"1975M11","50 Suicides (X60-X84, Y870)",75,16
"1975M12","50 Suicides (X60-X84, Y870)",82,14
"1976M01","50 Suicides (X60-X84, Y870)",67,17
"1976M02","50 Suicides (X60-X84, Y870)",53,14
"1976M03","50 Suicides (X60-X84, Y870)",89,28
"1976M04","50 Suicides (X60-X84, Y870)",93,20
"1976M05","50 Suicides (X60-X84, Y870)",97,26
