"Month","Unemployed jobseekers on calculation date (number) Total","Unemployed jobseekers on calculation date (number) Less than 1 week","Unemployed jobseekers on calculation date (number) 1-2 weeks","Unemployed jobseekers on calculation date (number) 3-4 weeks","Unemployed jobseekers on calculation date (number) 5-8 weeks","Unemployed jobseekers on calculation date (number) 9-12 weeks","Unemployed jobseekers on calculation date (number) 13-26 weeks","Unemployed jobseekers on calculation date (number) 27-39 weeks","Unemployed jobseekers on calculation date (number) 40-52 weeks","Unemployed jobseekers on calculation date (number) 53-78 weeks","Unemployed jobseekers on calculation date (number) 79-104 weeks","Unemployed jobseekers on calculation date (number) 2-3 years","Unemployed jobseekers on calculation date (number) 3-4 years","Unemployed jobseekers on calculation date (number) 4-5 years","Unemployed jobseekers on calculation date (number) More than 5 years","Unemployed jobseekers on calculation date (number) Unknown"
"2006M01",278486,12469,19023,28034,31970,20665,55155,25655,15165,25081,14458,15044,7245,3384,5138,0
"2006M02",268497,12820,16645,17424,32903,24667,54249,25250,15624,24090,14521,14720,7157,3320,5107,0
"2006M03",255527,11160,16341,17109,22952,24665,53447,25219,17307,22627,14817,14513,7058,3239,5073,0
"2006M04",246047,10522,16417,17495,23420,17478,50727,26874,17182,21639,14857,14281,6987,3181,4987,0
"2006M05",233816,11792,17392,17978,23706,14937,42995,24726,16172,20913,14371,14030,6787,3118,4899,0
"2006M06",258164,10555,21620,39080,25530,18884,38726,23456,15658,21735,14003,14165,6753,3122,4877,0
"2006M07",271231,11067,16489,25159,48534,20078,42797,25095,16793,20712,15455,14257,6756,3160,4879,0
"2006M08",240488,13241,18707,16397,22996,21743,45876,22338,16275,19758,14658,13959,6625,3125,4790,0
"2006M09",226113,10748,18591,21263,22764,13487,43810,19879,14815,19352,13440,13670,6538,3048,4708,0
"2006M10",225019,12838,17748,20486,26876,15190,40045,18200,14507,19010,12671,13318,6507,3009,4614,0
"2006M11",224358,11700,17902,19635,26747,20568,37707,18904,13339,18465,12351,13015,6378,3078,4569,0
"2006M12",246927,8455,31813,19230,29675,20650,42941,22540,13339,18390,12757,13077,6346,3187,4527,0
"2007M01",241553,11941,18251,26279,28561,18843,47213,20985,12328,18381,11313,13440,6455,3117,4446,0
"2007M02",232070,12113,16279,16799,30291,21491,46628,20332,12767,17427,11207,12937,6348,3064,4387,0
"2007M03",219410,9474,16021,15918,21926,21770,45921,20307,14087,16424,11380,12520,6298,3053,4311,0
"2007M04",211764,12608,17549,14249,21402,15834,42234,21567,13557,15776,11359,12153,6199,3020,4257,0
"2007M05",201016,11883,15667,16715,21676,13471,37350,20000,12739,15517,10854,11807,6215,2915,4207,0
"2007M06",225128,10002,21190,36880,22875,16649,34022,19366,12337,16459,10329,11735,6177,2928,4179,0
"2007M07",238213,10597,15737,23917,45763,18125,37737,21010,13339,16196,10821,11738,6143,2906,4184,0
"2007M08",208456,12916,17383,15553,21004,19555,40041,18993,12868,15595,10210,11272,6077,2831,4158,0
"2007M09",197338,10045,18038,20678,20704,12080,37991,17077,12117,15449,9458,10786,5965,2830,4120,0
"2007M10",196586,11850,17254,19332,25054,13497,34578,15454,12241,15115,9067,10428,5857,2818,4041,0
"2007M11",197296,11343,17218,18478,24710,18992,32593,15912,11465,14820,9164,10053,5765,2783,4000,0
"2007M12",220175,8378,29832,19113,28054,17281,40090,18964,11545,14810,9764,9789,5748,2813,3994,0
"2008M01",216668,11385,17623,25101,27418,17742,42435,17911,10533,15330,9004,9414,5959,2819,3994,0
"2008M02",208200,11682,15754,15745,28247,20377,42749,17633,10767,14744,8964,9015,5789,2793,3941,0
"2008M03",198290,12145,13013,15469,20639,20887,41780,18204,11753,14172,9160,8726,5641,2791,3910,0
"2008M04",191147,11265,16180,16268,19267,14587,39118,19517,11495,13709,9153,8447,5516,2755,3870,0
"2008M05",183617,11160,16505,15749,21693,12548,33950,18513,11064,13437,8822,8214,5352,2755,3855,0
"2008M06",208468,12613,19502,36267,22231,16248,30428,17707,10937,14085,8562,8061,5262,2735,3830,0
"2008M07",220500,9538,14900,23487,44959,17559,35687,19529,12065,13844,9266,7934,5170,2709,3853,0
"2008M08",194015,11078,17793,15579,20481,19425,38334,17746,12122,13566,8859,7627,4936,2640,3829,0
"2008M09",186875,12385,17855,20652,21034,10803,37189,15603,11192,13385,8386,7303,4698,2613,3777,0
"2008M10",191385,12151,18251,20759,26335,14177,33899,14636,11692,13375,8069,7229,4472,2583,3757,0
"2008M11",200058,11769,20769,20869,27812,19938,33324,15321,11054,13571,8064,6995,4302,2517,3753,0
"2008M12",235469,8915,36648,24914,33855,19682,42083,18805,10951,13868,8382,7016,4074,2518,3758,0
"2009M01",245322,12812,24438,31468,36164,24974,46827,18358,10230,14908,7854,7107,3748,2662,3772,0
"2009M02",248676,12427,22496,22273,40615,28253,53453,18930,10800,14769,7941,6838,3528,2596,3757,0
"2009M03",249764,13691,20989,21865,31302,31480,57971,21071,12630,14238,8181,6710,3374,2547,3715,0
"2009M04",250407,13981,19800,23293,31280,24069,61646,24861,12806,14233,8448,6606,3223,2477,3684,0
"2009M05",243392,12837,20827,22104,30718,21989,57122,26394,13032,14202,8598,6463,3076,2354,3676,0
"2009M06",274667,14038,24529,46881,31058,23570,52415,28516,14103,15534,8582,6526,3022,2254,3639,0
"2009M07",290382,11931,20475,28426,57337,25511,56866,32490,16709,15752,9510,6661,2920,2162,3632,0
"2009M08",267837,17303,22922,21607,29795,24006,63098,30578,18210,15998,9369,6532,2806,2004,3609,0
"2009M09",263894,16005,23465,27978,31619,17966,58893,27961,19052,17273,8985,6563,2671,1888,3575,0
"2009M10",268270,12666,22820,26980,38331,23740,54694,26392,20460,18683,8876,6652,2659,1756,3561,0
"2009M11",273214,14823,22409,23988,35756,29908,55862,26787,19999,20181,8998,6743,2566,1644,3550,0
"2009M12",301839,10662,38241,25083,37459,25659,66341,31966,19821,22285,9784,6963,2523,1506,3546,0
"2010M01",295008,11786,26430,27659,37670,27220,66531,30611,18387,24639,9439,7282,2467,1308,3579,0
"2010M02",285318,11105,20548,20493,38628,28886,66540,30799,18688,25210,9745,7320,2507,1287,3562,0
"2010M03",273241,12262,18790,19457,27767,29169,63078,31835,20681,24684,10729,7410,2589,1258,3532,0
"2010M04",262140,12960,20241,17517,27118,20978,58321,33824,20318,24242,11620,7572,2632,1284,3513,0
"2010M05",252104,18230,18132,19528,26525,17675,50600,30451,19843,23644,12249,7748,2710,1265,3504,0
"2010M06",274643,12654,23043,43231,27682,21114,45064,28407,19782,24811,12926,8262,2844,1304,3519,0
"2010M07",288317,9347,19795,26095,53305,23687,49303,29362,21424,24752,14679,8737,2961,1359,3511,0
"2010M08",253296,14360,20107,18282,25210,23217,51354,25551,19881,23978,14621,8892,2998,1371,3474,0
"2010M09",240590,13234,20040,22863,25749,14323,48697,22700,17838,24089,13917,9219,3117,1370,3434,0
"2010M10",240641,10823,20544,22260,30770,18390,43821,21189,17184,24149,13760,9677,3242,1424,3408,0
"2010M11",242951,12678,19167,21187,30239,23249,43158,21597,15908,23747,13688,10119,3369,1448,3397,0
"2010M12",269499,10831,32567,21815,33026,21995,50627,25331,15873,23486,14548,10946,3579,1488,3387,0
"2011M01",266111,11095,20342,26767,33414,22434,55127,24035,14790,23694,13992,11675,3809,1544,3393,0
"2011M02",258890,11482,17638,18874,34324,25449,54949,23677,15101,22567,14041,11893,3962,1567,3366,0
"2011M03",247530,10233,16526,18010,25861,25805,54102,23872,16388,20921,14656,12159,4015,1624,3358,0
"2011M04",237579,7988,17637,18193,24829,19517,51003,26016,15997,19922,14943,12351,4147,1683,3353,0
"2011M05",226686,13487,16447,18387,23898,15646,43956,24176,15186,19188,14516,12445,4246,1750,3358,0
"2011M06",252548,10508,21530,40003,26868,19062,39689,23357,14779,19957,14113,13000,4451,1841,3390,0
"2011M07",266435,7577,17353,24878,50556,22699,44280,24749,16292,19786,14647,13613,4667,1911,3427,0
"2011M08",234998,11304,17893,16985,23629,22176,48175,22098,16024,19024,13821,13652,4814,1972,3431,0
"2011M09",223966,9804,18872,21948,24050,13072,45998,19947,14571,18698,12621,13852,4998,2081,3454,0
"2011M10",226327,9818,18233,22135,29581,16442,41430,18763,14470,18690,11887,13978,5261,2172,3467,0
"2011M11",229976,8919,18287,20902,30169,19427,43209,19638,13743,18567,11807,13981,5550,2262,3515,0
"2011M12",255467,9223,31090,20909,31824,22869,46184,23055,13716,18438,12220,14087,5896,2411,3545,0
"2012M01",258281,9657,19687,28534,33997,21159,52944,21825,13086,19090,11642,14228,6245,2609,3578,0
"2012M02",253776,9410,16995,19208,35821,23489,55613,21494,13702,18796,11613,14331,6589,2757,3958,0
"2012M03",246078,8671,16788,17710,25955,22775,57731,22945,15281,18005,12018,14271,6843,2876,4209,0
"2012M04",239181,8640,17833,16795,25027,19264,52471,25772,14828,17655,12293,14179,7043,2967,4414,0
"2012M05",229340,10525,16455,17299,24716,16261,46045,24618,14330,17662,12173,14199,7255,3124,4678,0
"2012M06",259072,9815,21308,40817,24780,17659,43659,24958,15492,20310,12121,14099,7184,2981,3889,0
"2012M07",275740,8639,15843,25702,51220,20856,47215,27323,17337,19908,12853,14311,7512,3080,3941,0
"2012M08",245935,10915,18497,16806,23089,23164,50791,24869,17398,19207,12452,13957,7652,3145,3993,0
"2012M09",241381,6944,20919,23884,24928,14118,50647,23311,16364,19714,11614,13794,7855,3241,4048,0
"2012M10",250086,9673,18946,23681,32833,17667,46920,22087,17270,20225,11507,13845,7995,3361,4076,0
"2012M11",256759,9322,18575,22223,32478,24260,48274,22998,16713,20723,11639,13886,7987,3548,4133,0
"2012M12",282174,7888,27491,22287,34201,23894,57580,27618,17162,21423,12566,14014,8089,3678,4283,0
"2013M01",292487,9039,19505,31659,35755,23734,63079,27031,16496,23274,12198,14208,8244,3889,4376,0
"2013M02",290870,9203,17727,19291,39738,29030,64383,27413,17253,23528,12476,14164,8253,3998,4413,0
"2013M03",286951,4963,18554,18845,28817,32474,65416,30073,19911,23321,13534,14199,8288,4108,4448,0
"2013M04",279414,7837,17230,17053,27975,22560,64572,33649,19767,23444,14075,14256,8314,4178,4504,0
"2013M05",269045,10765,17793,16214,26378,19061,57493,32801,19327,23468,14259,14389,8222,4301,4574,0
"2013M06",301723,7119,23382,44068,27158,21028,54244,32295,20108,25676,14264,14839,8384,4453,4705,0
"2013M07",318586,7622,14803,24149,57899,22984,57111,36111,22869,25982,15957,15131,8493,4691,4784,0
"2013M08",290245,10974,18764,17128,22942,27926,60960,33045,23323,25900,16005,15220,8392,4803,4863,0
"2013M09",284933,11522,20636,24777,26307,13568,60033,30204,21960,26698,15438,15422,8426,4958,4984,0
"2013M10",289571,10862,19182,23909,34769,19548,53431,27605,22973,27582,15428,15661,8459,5063,5099,0
"2013M11",295913,10153,20045,22816,33170,25714,55267,28094,21866,28162,15724,16044,8500,5117,5241,0
"2013M12",329899,8321,33917,23741,36402,25117,63731,34232,22446,28797,17264,16735,8580,5204,5412,0
"2014M01",327566,9990,20502,27373,37109,26050,69589,31511,20640,31179,16764,17328,8635,5283,5613,0
"2014M02",323793,8971,16976,19567,37535,30413,72052,31722,21202,31191,17016,17557,8617,5253,5721,0
"2014M03",315670,8114,16785,18621,27841,30336,70949,33124,24193,30307,17935,17782,8574,5268,5841,0
"2014M04",307313,7326,14768,18948,28009,22729,68441,37974,23022,29781,18556,18037,8554,5223,5945,0
"2014M05",302243,11297,16690,18355,26708,20421,62555,37730,22199,29388,18746,18189,8670,5241,6054,0
"2014M06",337203,9806,23868,45468,28843,19353,59848,37886,22403,31603,18663,19007,8846,5367,6242,0
"2014M07",350426,6955,13609,25363,58351,26019,61706,40343,26107,30679,20857,19647,8964,5382,6444,0
"2014M08",319433,5267,18152,18629,23992,26239,71004,37676,27214,29941,20624,19735,9081,5304,6575,0
"2014M09",314548,9419,18136,25164,27461,13900,68407,34237,26337,30437,19771,19982,9216,5333,6748,0
"2014M10",319869,8811,19026,24848,34914,20915,60648,31941,26356,31150,19433,20327,9321,5281,6898,0
"2014M11",326506,5174,19523,23744,35860,24275,65392,33107,25597,31900,19390,20667,9517,5331,7029,0
"2014M12",363268,6444,34550,23669,37526,26552,69995,40985,25732,33044,20911,21431,9858,5387,7184,0
"2015M01",359614,7019,17761,27490,40010,27905,75845,38449,24513,35686,19567,22371,10163,5481,7354,0
"2015M02",355360,6998,15779,18592,36954,32979,78419,38385,25625,36368,19581,22520,10312,5476,7372,0
"2015M03",346988,7104,14752,17515,27130,30269,78791,39161,30007,35754,20594,22533,10526,5425,7427,0
"2015M04",338585,7484,15776,16953,26634,22305,73245,44238,28719,35578,21314,22848,10657,5426,7408,0
"2015M05",329602,6087,15989,17772,26628,18960,67385,44227,28012,36069,21639,23111,10720,5504,7499,0
"2015M06",368894,8602,22605,48992,27727,19107,61187,44300,27074,39191,21843,23860,11139,5634,7633,0
"2015M07",381596,5531,12639,24385,58692,29583,61749,45314,31434,38782,24209,24373,11469,5715,7721,0
"2015M08",346714,9733,15532,17149,22973,24599,72828,40105,32032,37922,24377,24205,11643,5805,7811,0
"2015M09",337404,7925,16661,24854,26061,13534,69970,35350,31273,38437,23739,24424,11799,5817,7560,0
"2015M10",337675,7201,17348,22978,33951,19943,61843,32204,30020,39034,23195,24513,12018,5876,7551,0
"2015M11",342106,8492,17131,20950,33124,22383,66162,32870,27669,39339,23497,24636,12226,6011,7616,0
"2015M12",377926,7655,35530,22638,34418,24333,67462,41904,26539,39765,25647,25464,12645,6198,7728,0
"2016M01",368118,4353,15692,26636,39232,24796,73315,39137,24761,41991,24588,26225,13114,6393,7885,0
"2016M02",360972,7586,13778,16512,33707,28684,76604,38651,25432,41250,24676,26496,13188,6394,8014,0
"2016M03",350981,5007,14247,16277,24739,20479,81560,38033,30403,39826,25666,26762,13377,6544,8061,0
"2016M04",340941,5989,15040,16384,23347,20064,68692,42116,29068,38283,26645,27006,13560,6634,8113,0
"2016M05",332143,9703,14057,16475,25555,15943,61405,40877,28042,37380,26789,27333,13653,6669,8262,0
"2016M06",366086,6978,22525,45870,26075,18510,54840,40878,26193,40217,26482,28357,13831,6919,8411,0
"2016M07",378399,2991,12685,24387,59427,22733,57908,41940,29547,39290,28665,29124,14080,7147,8475,0
